,hmid,predicted_category
178,88484,achievement
179,88485,bonding
180,88486,achievement
181,88487,achievement
182,88488,leisure
183,88489,bonding
184,88490,affection
185,88491,affection
186,88492,enjoy_the_moment
187,88493,achievement
188,88494,achievement
189,88495,achievement
190,88496,affection
191,88497,achievement
192,88498,enjoy_the_moment
193,88499,achievement
194,88500,affection
195,88501,bonding
196,88502,leisure
197,88503,achievement
198,88504,achievement
199,88505,affection
200,88506,affection
201,88507,affection
202,88508,achievement
203,88509,affection
204,88510,achievement
205,88511,achievement
206,88512,nature
207,88513,achievement
208,88514,affection
209,88515,enjoy_the_moment
210,88516,achievement
211,88517,enjoy_the_moment
212,88518,affection
213,88519,enjoy_the_moment
214,88520,enjoy_the_moment
215,88521,achievement
216,88522,exercise
217,88523,affection
218,88524,leisure
219,88525,achievement
220,88526,bonding
221,88527,achievement
222,88528,bonding
223,88529,affection
224,88530,affection
225,88531,achievement
226,88532,affection
227,88533,achievement
228,88534,achievement
229,88535,leisure
230,88536,affection
231,88537,achievement
232,88538,affection
233,88539,affection
234,88540,bonding
235,88541,achievement
236,88542,bonding
237,88543,affection
238,88544,achievement
239,88545,bonding
240,88546,affection
241,88547,achievement
242,88548,achievement
243,88549,bonding
244,88550,achievement
245,88551,bonding
246,88552,bonding
247,88553,enjoy_the_moment
248,88554,bonding
249,88555,affection
250,88556,enjoy_the_moment
251,88557,enjoy_the_moment
252,88558,affection
253,88559,affection
254,88560,affection
255,88561,enjoy_the_moment
256,88562,affection
257,88563,achievement
258,88564,achievement
259,88565,nature
260,88566,affection
261,88567,achievement
262,88568,achievement
263,88569,leisure
264,88570,enjoy_the_moment
265,88571,affection
266,88572,affection
267,88573,leisure
268,88574,affection
269,88575,affection
270,88576,affection
271,88577,affection
272,88578,achievement
273,88579,achievement
274,88580,achievement
275,88581,affection
276,88582,bonding
277,88583,affection
278,88584,affection
279,88585,affection
280,88586,affection
281,88587,affection
282,88588,enjoy_the_moment
283,88589,bonding
284,88590,achievement
285,88591,achievement
286,88592,affection
287,88593,affection
288,88594,affection
289,88595,achievement
290,88596,achievement
291,88597,achievement
292,88598,bonding
293,88599,achievement
294,88600,affection
295,88601,achievement
296,88602,bonding
297,88603,affection
298,88604,affection
299,88605,bonding
300,88606,affection
301,88608,achievement
302,88609,enjoy_the_moment
303,88610,achievement
304,88611,affection
305,88612,achievement
306,88613,affection
307,88614,achievement
308,88615,affection
309,88617,achievement
310,88618,achievement
311,88619,affection
312,88620,bonding
313,88621,leisure
314,88622,affection
315,88623,enjoy_the_moment
316,88624,achievement
317,88625,achievement
318,88626,enjoy_the_moment
319,88627,bonding
320,88628,affection
321,88629,affection
322,88630,affection
323,88631,affection
324,88632,leisure
325,88633,bonding
326,88634,achievement
327,88635,affection
328,88636,achievement
329,88637,achievement
330,88638,affection
331,88639,achievement
332,88640,achievement
333,88641,bonding
334,88642,enjoy_the_moment
335,88643,affection
336,88644,affection
337,88645,affection
338,88646,affection
339,88647,enjoy_the_moment
340,88648,affection
341,88649,achievement
342,88650,achievement
343,88651,achievement
344,88652,achievement
345,88653,affection
346,88654,leisure
347,88655,affection
348,88656,achievement
349,88657,achievement
350,88658,achievement
351,88659,affection
352,88660,achievement
353,88661,affection
354,88662,achievement
355,88663,achievement
356,88664,affection
357,88665,achievement
358,88666,achievement
359,88667,achievement
360,88668,enjoy_the_moment
361,88669,achievement
362,88670,achievement
363,88671,achievement
364,88672,bonding
365,88673,bonding
366,88674,bonding
367,88675,affection
368,88676,affection
369,88677,achievement
370,88678,achievement
371,88679,affection
372,88680,bonding
373,88681,bonding
374,88682,achievement
375,88683,affection
376,88684,leisure
377,88685,achievement
378,88686,bonding
379,88687,leisure
380,88688,achievement
381,88689,enjoy_the_moment
382,88690,enjoy_the_moment
383,88691,achievement
384,88692,achievement
385,88693,leisure
386,88694,achievement
387,88695,leisure
388,88696,affection
389,88697,affection
390,88698,affection
391,88699,bonding
392,88700,achievement
393,88701,affection
394,88702,affection
395,88703,achievement
396,88704,enjoy_the_moment
397,88705,affection
398,88706,achievement
399,88707,enjoy_the_moment
400,88708,achievement
401,88709,achievement
402,88710,achievement
403,88711,affection
404,88712,affection
405,88713,leisure
406,88714,affection
407,88715,leisure
408,88716,achievement
409,88717,affection
410,88718,achievement
411,88719,affection
412,88720,bonding
413,88721,achievement
414,88722,leisure
415,88723,achievement
416,88724,affection
417,88725,enjoy_the_moment
418,88726,achievement
419,88727,affection
420,88728,achievement
421,88729,achievement
422,88730,achievement
423,88731,bonding
424,88732,bonding
425,88733,bonding
426,88734,bonding
427,88735,achievement
428,88736,enjoy_the_moment
429,88737,enjoy_the_moment
430,88738,affection
431,88739,achievement
432,88740,achievement
433,88741,achievement
434,88742,leisure
435,88743,achievement
436,88744,affection
437,88745,affection
438,88746,achievement
439,88747,affection
440,88748,affection
441,88749,bonding
442,88750,affection
443,88751,affection
444,88752,affection
445,88753,achievement
446,88754,achievement
447,88755,achievement
448,88756,achievement
449,88757,bonding
450,88758,achievement
451,88759,affection
452,88760,achievement
453,88761,affection
454,88762,achievement
455,88763,affection
456,88764,achievement
457,88765,enjoy_the_moment
458,88766,affection
459,88767,achievement
460,88768,achievement
461,88769,achievement
462,88770,achievement
463,88771,affection
464,88772,achievement
465,88773,leisure
466,88774,bonding
467,88775,affection
468,88776,bonding
469,88777,affection
470,88778,affection
471,88779,bonding
472,88780,affection
473,88781,bonding
474,88782,achievement
475,88783,achievement
476,88784,enjoy_the_moment
477,88785,achievement
478,88786,affection
479,88787,affection
480,88788,affection
481,88789,affection
482,88790,affection
483,88791,enjoy_the_moment
484,88792,affection
485,88793,affection
486,88794,affection
487,88795,achievement
488,88796,bonding
489,88797,achievement
490,88798,achievement
491,88799,bonding
492,88800,bonding
493,88801,achievement
494,88802,achievement
495,88803,achievement
496,88804,affection
497,88805,affection
498,88806,achievement
499,88807,achievement
500,88808,affection
501,88809,nature
502,88810,enjoy_the_moment
503,88811,affection
504,88812,achievement
505,88813,affection
506,88814,achievement
507,88815,affection
508,88816,achievement
509,88817,bonding
510,88818,achievement
511,88819,achievement
512,88820,achievement
513,88821,affection
514,88822,enjoy_the_moment
515,88823,achievement
516,88824,affection
517,88825,affection
518,88826,leisure
519,88827,achievement
520,88828,affection
521,88829,affection
522,88830,affection
523,88831,enjoy_the_moment
524,88832,achievement
525,88833,bonding
526,88834,affection
527,88835,affection
528,88836,achievement
529,88837,bonding
530,88838,affection
531,88839,affection
532,88840,affection
533,88841,affection
534,88842,achievement
535,88843,achievement
536,88844,bonding
537,88845,affection
538,88846,bonding
539,88847,achievement
540,88848,enjoy_the_moment
541,88849,affection
542,88850,affection
543,88851,achievement
544,88852,bonding
545,88853,affection
546,88854,affection
547,88855,affection
548,88856,nature
549,88857,leisure
550,88858,affection
551,88859,affection
552,88860,bonding
553,88861,affection
554,88862,enjoy_the_moment
555,88863,affection
556,88864,nature
557,88865,affection
558,88866,achievement
559,88867,bonding
560,88868,affection
561,88869,affection
562,88870,affection
563,88871,bonding
564,88872,bonding
565,88873,affection
566,88874,affection
567,88875,affection
568,88876,bonding
569,88877,achievement
570,88878,affection
571,88879,achievement
572,88880,affection
573,88881,achievement
574,88882,affection
575,88883,enjoy_the_moment
576,88884,affection
577,88885,affection
578,88886,enjoy_the_moment
579,88887,affection
580,88888,bonding
581,88889,affection
582,88890,achievement
583,88891,achievement
584,88892,achievement
585,88893,affection
586,88894,bonding
587,88895,bonding
588,88896,achievement
589,88897,enjoy_the_moment
590,88898,bonding
591,88899,achievement
592,88900,affection
593,88901,leisure
594,88902,achievement
595,88903,achievement
596,88904,achievement
597,88905,achievement
598,88906,enjoy_the_moment
599,88907,achievement
600,88908,affection
601,88909,exercise
602,88910,achievement
603,88911,affection
604,88912,achievement
605,88913,affection
606,88914,enjoy_the_moment
607,88915,achievement
608,88916,exercise
609,88917,achievement
610,88918,achievement
611,88919,achievement
612,88920,affection
613,88921,achievement
614,88922,bonding
615,88923,bonding
616,88924,enjoy_the_moment
617,88925,affection
618,88926,bonding
619,88927,achievement
620,88928,bonding
621,88929,achievement
622,88930,affection
623,88931,affection
624,88932,enjoy_the_moment
625,88933,achievement
626,88934,achievement
627,88935,achievement
628,88936,leisure
629,88937,leisure
630,88938,achievement
631,88939,affection
632,88940,achievement
633,88941,affection
634,88942,achievement
635,88943,bonding
636,88944,bonding
637,88945,affection
638,88946,affection
639,88947,enjoy_the_moment
640,88948,affection
641,88949,achievement
642,88950,affection
643,88951,leisure
644,88952,affection
645,88953,affection
646,88954,affection
647,88955,affection
648,88956,affection
649,88957,achievement
650,88958,enjoy_the_moment
651,88959,achievement
652,88960,achievement
653,88961,affection
654,88962,achievement
655,88963,achievement
656,88964,affection
657,88965,affection
658,88966,achievement
659,88967,achievement
660,88969,achievement
661,88970,affection
662,88971,affection
663,88972,achievement
664,88973,achievement
665,88974,achievement
666,88975,bonding
667,88976,affection
668,88977,achievement
669,88978,achievement
670,88979,affection
671,88980,achievement
672,88981,bonding
673,88982,affection
674,88983,affection
675,88984,exercise
676,88985,affection
677,88986,leisure
678,88987,enjoy_the_moment
679,88988,achievement
680,88989,affection
681,88990,affection
682,88991,leisure
683,88992,achievement
684,88993,achievement
685,88994,affection
686,88995,achievement
687,88996,affection
688,88997,enjoy_the_moment
689,88998,achievement
690,88999,achievement
691,89000,affection
692,89001,achievement
693,89002,bonding
694,89003,affection
695,89004,affection
696,89005,nature
697,89006,achievement
698,89007,bonding
699,89008,affection
700,89009,achievement
701,89010,affection
702,89011,enjoy_the_moment
703,89012,leisure
704,89013,affection
705,89014,affection
706,89015,affection
707,89016,bonding
708,89017,bonding
709,89018,enjoy_the_moment
710,89019,bonding
711,89020,affection
712,89021,affection
713,89022,achievement
714,89023,affection
715,89024,achievement
716,89025,achievement
717,89026,achievement
718,89027,bonding
719,89028,leisure
720,89029,bonding
721,89030,bonding
722,89031,affection
723,89032,bonding
724,89033,affection
725,89034,enjoy_the_moment
726,89035,affection
727,89036,affection
728,89037,achievement
729,89038,achievement
730,89039,achievement
731,89040,achievement
732,89041,affection
733,89042,achievement
734,89043,enjoy_the_moment
735,89044,affection
736,89045,enjoy_the_moment
737,89046,affection
738,89047,affection
739,89048,achievement
740,89049,affection
741,89050,achievement
742,89051,affection
743,89052,achievement
744,89053,bonding
745,89054,affection
746,89055,achievement
747,89056,affection
748,89057,affection
749,89058,enjoy_the_moment
750,89059,bonding
751,89060,achievement
752,89061,affection
753,89062,enjoy_the_moment
754,89063,affection
755,89064,enjoy_the_moment
756,89065,enjoy_the_moment
757,89066,affection
758,89067,affection
759,89068,achievement
760,89069,achievement
761,89070,affection
762,89071,achievement
763,89072,affection
764,89073,affection
765,89074,achievement
766,89075,affection
767,89076,achievement
768,89077,achievement
769,89078,achievement
770,89079,achievement
771,89080,affection
772,89081,enjoy_the_moment
773,89082,affection
774,89083,affection
775,89084,achievement
776,89085,achievement
777,89086,affection
778,89087,achievement
779,89088,affection
780,89089,achievement
781,89090,bonding
782,89091,affection
783,89092,leisure
784,89093,achievement
785,89094,affection
786,89095,achievement
787,89096,achievement
788,89097,affection
789,89098,affection
790,89099,achievement
791,89100,achievement
792,89101,achievement
793,89102,achievement
794,89103,enjoy_the_moment
795,89104,achievement
796,89105,affection
797,89106,affection
798,89107,achievement
799,89108,achievement
800,89109,leisure
801,89110,affection
802,89111,affection
803,89112,affection
804,89113,bonding
805,89114,affection
806,89115,nature
807,89116,affection
808,89117,leisure
809,89118,affection
810,89119,achievement
811,89120,affection
812,89121,bonding
813,89122,achievement
814,89123,enjoy_the_moment
815,89124,affection
816,89125,bonding
817,89126,affection
818,89127,affection
819,89128,nature
820,89129,affection
821,89130,leisure
822,89131,affection
823,89132,achievement
824,89133,affection
825,89134,achievement
826,89135,leisure
827,89136,affection
828,89137,affection
829,89138,achievement
830,89139,affection
831,89140,bonding
832,89141,achievement
833,89142,achievement
834,89143,affection
835,89144,enjoy_the_moment
836,89145,bonding
837,89146,achievement
838,89147,nature
839,89148,achievement
840,89149,enjoy_the_moment
841,89150,achievement
842,89151,affection
843,89152,achievement
844,89153,bonding
845,89154,enjoy_the_moment
846,89155,achievement
847,89156,achievement
848,89157,achievement
849,89158,achievement
850,89159,achievement
851,89160,affection
852,89161,affection
853,89162,affection
854,89163,leisure
855,89164,achievement
856,89165,achievement
857,89166,achievement
858,89167,achievement
859,89168,achievement
860,89169,achievement
861,89170,affection
862,89171,affection
863,89172,exercise
864,89173,enjoy_the_moment
865,89174,affection
866,89175,bonding
867,89176,achievement
868,89177,affection
869,89178,affection
870,89179,affection
871,89180,achievement
872,89181,nature
873,89182,affection
874,89183,affection
875,89184,affection
876,89185,affection
877,89186,achievement
878,89187,affection
879,89188,affection
880,89189,achievement
881,89190,achievement
882,89191,affection
883,89192,affection
884,89193,enjoy_the_moment
885,89194,affection
886,89195,achievement
887,89196,achievement
888,89197,enjoy_the_moment
889,89198,achievement
890,89199,affection
891,89200,affection
892,89201,nature
893,89202,enjoy_the_moment
894,89203,achievement
895,89204,achievement
896,89205,nature
897,89206,affection
898,89207,affection
899,89208,leisure
900,89209,achievement
901,89210,affection
902,89211,affection
903,89212,affection
904,89213,achievement
905,89214,achievement
906,89215,affection
907,89216,achievement
908,89217,achievement
909,89218,enjoy_the_moment
910,89219,achievement
911,89220,bonding
912,89221,achievement
913,89222,achievement
914,89223,affection
915,89224,leisure
916,89225,affection
917,89226,affection
918,89227,enjoy_the_moment
919,89228,affection
920,89229,affection
921,89230,achievement
922,89231,achievement
923,89232,leisure
924,89233,achievement
925,89234,bonding
926,89235,affection
927,89236,affection
928,89237,affection
929,89238,leisure
930,89239,affection
931,89240,achievement
932,89241,affection
933,89242,achievement
934,89243,affection
935,89244,achievement
936,89245,affection
937,89246,achievement
938,89247,affection
939,89248,enjoy_the_moment
940,89249,affection
941,89250,achievement
942,89251,affection
943,89252,enjoy_the_moment
944,89253,achievement
945,89254,achievement
946,89255,achievement
947,89256,achievement
948,89257,affection
949,89258,achievement
950,89259,affection
951,89260,achievement
952,89261,bonding
953,89262,nature
954,89263,affection
955,89264,enjoy_the_moment
956,89265,nature
957,89266,achievement
958,89267,achievement
959,89268,affection
960,89269,achievement
961,89270,affection
962,89271,affection
963,89272,affection
964,89273,affection
965,89274,affection
966,89275,achievement
967,89276,enjoy_the_moment
968,89277,affection
969,89278,achievement
970,89279,leisure
971,89280,achievement
972,89281,achievement
973,89282,affection
974,89283,achievement
975,89284,affection
976,89285,affection
977,89286,affection
978,89287,achievement
979,89288,affection
980,89289,enjoy_the_moment
981,89290,enjoy_the_moment
982,89291,enjoy_the_moment
983,89292,bonding
984,89293,bonding
985,89294,affection
986,89295,achievement
987,89296,enjoy_the_moment
988,89297,bonding
989,89298,affection
990,89299,affection
991,89300,affection
992,89301,affection
993,89302,achievement
994,89303,affection
995,89304,affection
996,89305,enjoy_the_moment
997,89306,achievement
998,89307,affection
999,89308,nature
1000,89309,achievement
1001,89310,achievement
1002,89311,affection
1003,89312,enjoy_the_moment
1004,89313,affection
1005,89314,affection
1006,89315,enjoy_the_moment
1007,89316,bonding
1008,89317,achievement
1009,89318,achievement
1010,89319,achievement
1011,89320,affection
1012,89321,affection
1013,89322,achievement
1014,89323,affection
1015,89324,achievement
1016,89325,leisure
1017,89326,achievement
1018,89327,achievement
1019,89328,achievement
1020,89329,affection
1021,89330,achievement
1022,89331,enjoy_the_moment
1023,89332,achievement
1024,89333,bonding
1025,89334,bonding
1026,89335,achievement
1027,89336,affection
1028,89337,achievement
1029,89338,enjoy_the_moment
1030,89339,achievement
1031,89340,affection
1032,89341,achievement
1033,89342,affection
1034,89343,bonding
1035,89344,leisure
1036,89345,affection
1037,89346,affection
1038,89347,achievement
1039,89348,achievement
1040,89349,affection
1041,89350,leisure
1042,89351,leisure
1043,89352,achievement
1044,89353,affection
1045,89354,affection
1046,89355,achievement
1047,89356,leisure
1048,89357,enjoy_the_moment
1049,89358,leisure
1050,89359,affection
1051,89360,achievement
1052,89361,affection
1053,89362,affection
1054,89363,affection
1055,89364,achievement
1056,89365,affection
1057,89366,achievement
1058,89367,achievement
1059,89368,affection
1060,89369,achievement
1061,89370,affection
1062,89371,achievement
1063,89372,achievement
1064,89373,achievement
1065,89374,achievement
1066,89375,affection
1067,89376,achievement
1068,89377,leisure
1069,89378,affection
1070,89379,affection
1071,89380,achievement
1072,89381,achievement
1073,89382,bonding
1074,89383,exercise
1075,89384,bonding
1076,89385,affection
1077,89386,achievement
1078,89388,achievement
1079,89389,affection
1080,89390,achievement
1081,89391,affection
1082,89392,achievement
1083,89393,affection
1084,89394,achievement
1085,89395,bonding
1086,89396,achievement
1087,89397,affection
1088,89398,achievement
1089,89399,affection
1090,89400,achievement
1091,89401,achievement
1092,89402,enjoy_the_moment
1093,89403,bonding
1094,89404,achievement
1095,89405,bonding
1096,89406,achievement
1097,89407,achievement
1098,89408,affection
1099,89409,leisure
1100,89410,affection
1101,89411,leisure
1102,89412,affection
1103,89413,achievement
1104,89414,affection
1105,89415,achievement
1106,89416,leisure
1107,89417,achievement
1108,89418,achievement
1109,89419,achievement
1110,89420,achievement
1111,89421,achievement
1112,89422,affection
1113,89423,affection
1114,89424,achievement
1115,89425,enjoy_the_moment
1116,89426,enjoy_the_moment
1117,89427,bonding
1118,89428,achievement
1119,89429,affection
1120,89430,achievement
1121,89431,affection
1122,89432,affection
1123,89433,affection
1124,89434,affection
1125,89435,enjoy_the_moment
1126,89436,affection
1127,89437,achievement
1128,89438,enjoy_the_moment
1129,89439,achievement
1130,89440,achievement
1131,89441,enjoy_the_moment
1132,89442,leisure
1133,89443,enjoy_the_moment
1134,89444,achievement
1135,89445,affection
1136,89446,enjoy_the_moment
1137,89447,achievement
1138,89448,achievement
1139,89449,achievement
1140,89450,affection
1141,89451,affection
1142,89452,achievement
1143,89453,achievement
1144,89454,achievement
1145,89455,achievement
1146,89456,achievement
1147,89457,affection
1148,89458,bonding
1149,89459,achievement
1150,89460,achievement
1151,89461,achievement
1152,89462,achievement
1153,89463,affection
1154,89464,bonding
1155,89465,achievement
1156,89466,achievement
1157,89467,leisure
1158,89468,achievement
1159,89469,affection
1160,89470,affection
1161,89471,bonding
1162,89472,achievement
1163,89473,achievement
1164,89474,affection
1165,89475,bonding
1166,89476,achievement
1167,89477,enjoy_the_moment
1168,89478,achievement
1169,89479,achievement
1170,89480,affection
1171,89481,affection
1172,89482,achievement
1173,89483,affection
1174,89484,bonding
1175,89485,bonding
1176,89486,affection
1177,89487,enjoy_the_moment
1178,89488,achievement
1179,89489,affection
1180,89490,achievement
1181,89491,enjoy_the_moment
1182,89492,affection
1183,89493,leisure
1184,89494,achievement
1185,89495,affection
1186,89496,leisure
1187,89497,achievement
1188,89498,affection
1189,89499,achievement
1190,89500,achievement
1191,89501,leisure
1192,89502,achievement
1193,89503,affection
1194,89504,bonding
1195,89505,affection
1196,89506,affection
1197,89507,affection
1198,89508,achievement
1199,89509,leisure
1200,89510,enjoy_the_moment
1201,89511,achievement
1202,89512,nature
1203,89513,bonding
1204,89514,enjoy_the_moment
1205,89515,affection
1206,89516,achievement
1207,89517,enjoy_the_moment
1208,89518,affection
1209,89519,achievement
1210,89520,achievement
1211,89521,affection
1212,89522,achievement
1213,89523,affection
1214,89525,achievement
1215,89526,affection
1216,89527,achievement
1217,89528,affection
1218,89529,affection
1219,89530,affection
1220,89531,nature
1221,89532,affection
1222,89533,achievement
1223,89534,affection
1224,89535,achievement
1225,89536,achievement
1226,89537,achievement
1227,89538,achievement
1228,89539,achievement
1229,89540,bonding
1230,89541,affection
1231,89542,affection
1232,89543,bonding
1233,89544,achievement
1234,89545,achievement
1235,89546,affection
1236,89547,affection
1237,89548,leisure
1238,89549,bonding
1239,89550,nature
1240,89551,affection
1241,89552,nature
1242,89553,bonding
1243,89554,affection
1244,89555,bonding
1245,89556,bonding
1246,89557,achievement
1247,89558,achievement
1248,89559,affection
1249,89560,bonding
1250,89561,affection
1251,89562,achievement
1252,89563,affection
1253,89564,leisure
1254,89565,affection
1255,89566,achievement
1256,89567,achievement
1257,89568,affection
1258,89569,exercise
1259,89570,affection
1260,89571,achievement
1261,89572,affection
1262,89573,affection
1263,89574,achievement
1264,89575,achievement
1265,89576,achievement
1266,89577,affection
1267,89578,affection
1268,89579,bonding
1269,89580,achievement
1270,89581,enjoy_the_moment
1271,89582,achievement
1272,89583,achievement
1273,89584,achievement
1274,89585,enjoy_the_moment
1275,89586,achievement
1276,89587,achievement
1277,89588,achievement
1278,89589,leisure
1279,89590,bonding
1280,89591,achievement
1281,89592,achievement
1282,89593,bonding
1283,89594,affection
1284,89595,achievement
1285,89596,achievement
1286,89597,achievement
1287,89598,affection
1288,89599,bonding
1289,89600,achievement
1290,89601,achievement
1291,89602,achievement
1292,89603,achievement
1293,89604,achievement
1294,89605,achievement
1295,89606,achievement
1296,89608,achievement
1297,89609,affection
1298,89610,achievement
1299,89611,affection
1300,89612,achievement
1301,89613,affection
1302,89614,bonding
1303,89615,affection
1304,89617,achievement
1305,89618,achievement
1306,89619,affection
1307,89620,bonding
1308,89621,affection
1309,89622,enjoy_the_moment
1310,89623,enjoy_the_moment
1311,89624,bonding
1312,89625,affection
1313,89626,affection
1314,89627,bonding
1315,89628,affection
1316,89629,affection
1317,89630,affection
1318,89631,achievement
1319,89632,achievement
1320,89633,affection
1321,89634,bonding
1322,89635,affection
1323,89636,affection
1324,89637,nature
1325,89638,affection
1326,89639,achievement
1327,89640,affection
1328,89641,bonding
1329,89642,affection
1330,89643,affection
1331,89644,affection
1332,89645,affection
1333,89646,affection
1334,89647,achievement
1335,89648,affection
1336,89649,affection
1337,89650,enjoy_the_moment
1338,89651,leisure
1339,89652,enjoy_the_moment
1340,89653,achievement
1341,89654,leisure
1342,89655,bonding
1343,89656,leisure
1344,89657,leisure
1345,89658,achievement
1346,89659,affection
1347,89660,affection
1348,89661,exercise
1349,89662,achievement
1350,89663,leisure
1351,89664,leisure
1352,89665,affection
1353,89666,leisure
1354,89667,affection
1355,89668,bonding
1356,89669,leisure
1357,89670,leisure
1358,89671,achievement
1359,89672,achievement
1360,89673,bonding
1361,89674,achievement
1362,89675,affection
1363,89676,achievement
1364,89677,achievement
1365,89678,achievement
1366,89679,achievement
1367,89680,affection
1368,89681,achievement
1369,89682,affection
1370,89683,affection
1371,89684,bonding
1372,89685,affection
1373,89686,affection
1374,89687,leisure
1375,89688,leisure
1376,89690,leisure
1377,89691,achievement
1378,89692,leisure
1379,89693,leisure
1380,89694,affection
1381,89695,achievement
1382,89696,affection
1383,89697,achievement
1384,89698,affection
1385,89699,bonding
1386,89700,leisure
1387,89701,achievement
1388,89702,enjoy_the_moment
1389,89703,bonding
1390,89704,achievement
1391,89705,leisure
1392,89706,enjoy_the_moment
1393,89707,bonding
1394,89708,nature
1395,89709,enjoy_the_moment
1396,89710,achievement
1397,89711,achievement
1398,89712,affection
1399,89713,leisure
1400,89714,affection
1401,89715,achievement
1402,89716,enjoy_the_moment
1403,89717,affection
1404,89718,affection
1405,89719,achievement
1406,89720,bonding
1407,89721,achievement
1408,89722,achievement
1409,89723,achievement
1410,89724,bonding
1411,89725,affection
1412,89726,bonding
1413,89727,achievement
1414,89728,leisure
1415,89729,bonding
1416,89730,exercise
1417,89731,affection
1418,89732,bonding
1419,89733,enjoy_the_moment
1420,89734,affection
1421,89735,achievement
1422,89736,enjoy_the_moment
1423,89737,achievement
1424,89738,affection
1425,89739,affection
1426,89740,affection
1427,89741,affection
1428,89742,bonding
1429,89743,affection
1430,89744,achievement
1431,89745,affection
1432,89746,achievement
1433,89747,achievement
1434,89748,affection
1435,89749,achievement
1436,89750,affection
1437,89751,leisure
1438,89752,achievement
1439,89753,enjoy_the_moment
1440,89754,affection
1441,89755,affection
1442,89756,achievement
1443,89757,bonding
1444,89758,achievement
1445,89759,achievement
1446,89760,affection
1447,89761,bonding
1448,89762,achievement
1449,89763,achievement
1450,89764,achievement
1451,89765,enjoy_the_moment
1452,89766,affection
1453,89767,leisure
1454,89768,bonding
1455,89769,achievement
1456,89770,achievement
1457,89771,bonding
1458,89772,leisure
1459,89773,achievement
1460,89774,achievement
1461,89775,affection
1462,89776,affection
1463,89777,affection
1464,89778,affection
1465,89779,achievement
1466,89780,achievement
1467,89781,affection
1468,89782,affection
1469,89783,affection
1470,89784,leisure
1471,89785,achievement
1472,89786,leisure
1473,89787,bonding
1474,89788,affection
1475,89789,achievement
1476,89790,affection
1477,89791,achievement
1478,89792,enjoy_the_moment
1479,89793,enjoy_the_moment
1480,89794,affection
1481,89795,affection
